filename,function_name,smell,name_smell,message
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/test/modules/test_implicit_quantile_distr_output.py,learn_distribution,1,gradients_not_cleared_before_backward_propagation,"If optimizer.zero_grad() is not used before loss_- fn.backward(), the gradients will be accumulatedfrom all loss_- fn.backward() calls and it will lead to the gradient explosion,which fails the training."
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/test/modules/test_distribution_output.py,maximum_likelihood_estimate_sgd,1,gradients_not_cleared_before_backward_propagation,"If optimizer.zero_grad() is not used before loss_- fn.backward(), the gradients will be accumulatedfrom all loss_- fn.backward() calls and it will lead to the gradient explosion,which fails the training."
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/test/modules/test_distribution_output.py,test_multivariate_normal,1,matrix_multiplication_api_misused,"Please consider to use np.matmul to multiply matrix. The function dot() not return a scalar value, but a matrix. "
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/trainer.py,__call__,1,gradients_not_cleared_before_backward_propagation,"If optimizer.zero_grad() is not used before loss_- fn.backward(), the gradients will be accumulatedfrom all loss_- fn.backward() calls and it will lead to the gradient explosion,which fails the training."
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/dataset/repository/_m5.py,generate_pts_m5_dataset,1,merge_api_parameter_not_explicitly_set,merge not explicit
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/dataset/repository/_m5.py,generate_pts_m5_dataset,4,columns_and_datatype_not_explicitly_set,"If the datatype or the columns are not set explicitly, it may silently continue the next step even though the input is unexpected, which may cause errors later.It is recommended to set the columns and DataType explicitly in data processing."
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/dataset/repository/_m5.py,generate_pts_m5_dataset,6,dataframe_conversion_api_misused,Please consider to use numpy instead values to convert dataframe. The function 'values' is deprecated.The value return of this function is unclear.
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/dataset/repository/_m5.py,get_sell_price,1,merge_api_parameter_not_explicitly_set,merge not explicit
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/model/n_beats/n_beats_network.py,forward,1,pytorch_call_method_misused,is recommended to use self.net()
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/model/n_beats/n_beats_network.py,forward,1,pytorch_call_method_misused,is recommended to use self.net()
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/model/n_beats/n_beats_network.py,forward,1,pytorch_call_method_misused,is recommended to use self.net()
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/model/n_beats/n_beats_network.py,forward,1,pytorch_call_method_misused,is recommended to use self.net()
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/model/n_beats/n_beats_network.py,forward,1,pytorch_call_method_misused,is recommended to use self.net()
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/model/tft/tft_network.py,forward,1,pytorch_call_method_misused,is recommended to use self.net()
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/model/tft/tft_network.py,forward,1,pytorch_call_method_misused,is recommended to use self.net()
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/model/tft/tft_modules.py,forward,1,pytorch_call_method_misused,is recommended to use self.net()
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/model/lstnet/lstnet_network.py,forward,1,pytorch_call_method_misused,is recommended to use self.net()
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/model/lstnet/lstnet_network.py,forward,1,pytorch_call_method_misused,is recommended to use self.net()
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/modules/flows.py,log_prob,1,pytorch_call_method_misused,is recommended to use self.net()
/Users/broke31/Desktop/smell_ai/input/projects/pytorch-ts/pts/modules/flows.py,log_prob,1,pytorch_call_method_misused,is recommended to use self.net()
